AISHE code,College Name,State,District,web url,Year of established,Location Type(Rural/Urban),Institute Type,NAAC Grade,Accreditation,NIRF Rank,Address,Email,Phone,Description,Logo URL,Status,Verification Notes / Sources
C-44919,"School of Postgraduate Studies, Coimbatore",Tamil Nadu,Coimbatore,https://tnau.ac.in/pgschooltnau/,1958,Urban,Postgraduate Institution,NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"School of Postgraduate Studies, Coimbatore, Coimbatore District, Tamil Nadu",pgadmission@tnau.ac.in,0422-6611261,"School of Postgraduate Studies, Coimbatore is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://admissionsatpgschool.tnau.ac.in/,active,Official College Portal (https://tnau.ac.in/pgschooltnau/); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; Official TNAU PG Admissions Portal (admissionsatpgschool.tnau.ac.in); ICAR SAU Directory
C-35003,"SoRSPE, Ramakrishna Mission Vivekananda University",Tamil Nadu,Coimbatore,https://vucbe.org/,1980,Rural,"The appropriate Institution Type for ""SoRSPE, Ramakrishna Mission Vivekananda University"" is ""Deemed to be University.""",A++,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"SoRSPE, Ramakrishna Mission Vivekananda University, Coimbatore District, Tamil Nadu",office@vucbe.org,0422-2697529,"SoRSPE, Ramakrishna Mission Vivekananda University is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://vucbe.org/,active,Bharathiar University Affiliated Colleges Directory; UGC Recognized Colleges Portal (ugc.gov.in); Official RKMVERI Coimbatore Campus Portal (vucbe.org); NAAC Accreditation Records
U-0485,"Tamilnadu Agricultural University, Coimbatore",Tamil Nadu,Coimbatore,www.tnau.ac.in,1906,Urban,University,A+,Recognized under UGC Act; Affiliated with Bharathiar University,"Rank 6 (Agriculture & Allied Sectors, NIRF 2024); Rank 73 (University, NIRF 2024); Rank 88 (Overall, NIRF 2024)","Tamilnadu Agricultural University, Coimbatore, Coimbatore District, Tamil Nadu",registrar@tnau.ac.in,0422-6611201,"Tamilnadu Agricultural University, Coimbatore is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://tnau.ac.in/,active,Official College Portal (www.tnau.ac.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; Official TNAU Portal (tnau.ac.in); MoE NIRF 2024 (nirfindia.org); NAAC Records
U-0436,"Amrita Vishwa Vidyapeetham, Coimbatore",Tamil Nadu,Coimbatore,www.amrita.edu,1994,Rural,Deemed to be University,A++,Recognized under UGC Act; Affiliated with Bharathiar University,"Rank 7 (University, NIRF 2024); Rank 18 (Overall, NIRF 2024)","Amrita Vishwa Vidyapeetham, Coimbatore, Coimbatore District, Tamil Nadu",academicadmin@cb.amrita.edu,0422-2685000,"Amrita Vishwa Vidyapeetham, Coimbatore is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://www.amrita.edu/,active,Official College Portal (www.amrita.edu); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; Official Amrita University Portal (amrita.edu); MoE NIRF 2024 (nirfindia.org); NAAC Portal
U-0459,"Karpagam Academy of Higher Education, Coimbatore",Tamil Nadu,Coimbatore,www.kahedu.edu.in,1995,Rural,"Karpagam Academy of Higher Education, Coimbatore is classified as a Deemed to be University. The appropriate Institution Type is ""Deemed University.""",A+,Recognized by National Council for Teacher Education (NCTE); Affiliated with Tamil Nadu Teachers Education University (TNTEU),"Rank-band 101-150 (University, NIRF 2024)","Karpagam Academy of Higher Education, Coimbatore, Coimbatore District, Tamil Nadu",info@kahedu.edu.in,0422-2980011,"Karpagam Academy of Higher Education, Coimbatore is a teacher education institution located in Coimbatore District, Tamil Nadu, recognized by NCTE and affiliated with Tamil Nadu Teachers Education University (TNTEU), Chennai.",https://kahedu.edu.in/,active,Official College Portal (www.kahedu.edu.in); NCTE Southern Regional Committee Directory; TNTEU Affiliation Records; Official KAHE Website (kahedu.edu.in); MoE NIRF 2024 (nirfindia.org); NAAC Directory
U-0460,"Karunya Institute of Technology and Sciences, Coimbatore",Tamil Nadu,Coimbatore,www.karunya.edu,1986,Rural,Deemed to be University,A++,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai","Rank-band 101-150 (University, NIRF 2024); Rank-band 101-150 (Engineering, NIRF 2024); Rank-band 151-200 (Overall, NIRF 2024)","Karunya Institute of Technology and Sciences, Coimbatore, Coimbatore District, Tamil Nadu",info@karunya.edu,1800-425-4300,"Karunya Institute of Technology and Sciences, Coimbatore is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",https://www.karunya.edu/,active,Official Institution Website (www.karunya.edu); Anna University Affiliated Colleges Directory; AICTE Portal; Official Karunya Portal (karunya.edu); MoE NIRF 2024 (nirfindia.org); NAAC Records
U-1471,Rathinam Global University,Tamil Nadu,Coimbatore,https://rathinamglobal.edu.in/,2024,Urban,"The appropriate Institution Type for Rathinam Global University is ""Private University.""",A++,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"Rathinam Global University, Coimbatore District, Tamil Nadu",admissions@rathinamglobal.edu.in,0422-4040906,"Rathinam Global University is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://rathinamglobal.edu.in/,active,Bharathiar University Affiliated Colleges Directory; UGC Recognized Colleges Portal (ugc.gov.in); Official Rathinam Global University Website (rathinamglobal.edu.in); UGC / State Gazette
C-64359,ADITHYA COLLEGE OF ARTS AND SCIENCE,Tamil Nadu,Coimbatore,www.adithyacas.edu.in,2019,Rural,Private College,NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"ADITHYA COLLEGE OF ARTS AND SCIENCE, Coimbatore District, Tamil Nadu",principal@adithyacas.edu.in,0422-2654504,"ADITHYA COLLEGE OF ARTS AND SCIENCE is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://adithyacas.edu.in/,active,Official College Portal (www.adithyacas.edu.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; Official College Portal (adithyacas.edu.in); Bharathiar University Affiliated College Directory
C-37053,Adithya Institute of Technology,Tamil Nadu,Coimbatore,www.adithyatech.edu.in,2008,Rural,"The appropriate Institution Type for Adithya Institute of Technology is ""Private Engineering College.""",B+,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"Adithya Institute of Technology, Coimbatore District, Tamil Nadu",info@adithyatech.com,0422-2654504,"Adithya Institute of Technology is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",https://adithyatech.edu.in/,active,Official Institution Website (www.adithyatech.edu.in); Anna University Affiliated Colleges Directory; AICTE Portal; Official College Portal (adithyatech.edu.in); Anna University Directory; NAAC Portal
C-14965,A.G. College of Education,Tamil Nadu,Coimbatore,agbedcpllege.com,2007,Rural,"The appropriate Institution Type for ""A.G. College of Education"" is ""College of Education.""",NULL,Recognized by National Council for Teacher Education (NCTE); Affiliated with Tamil Nadu Teachers Education University (TNTEU),NULL,"A.G. College of Education, Coimbatore District, Tamil Nadu",info@agbedcollege.com,0421-2312284,"A.G. College of Education is a teacher education institution located in Coimbatore District, Tamil Nadu, recognized by NCTE and affiliated with Tamil Nadu Teachers Education University (TNTEU), Chennai.",https://agbedcollege.com/,active,Official College Portal (agbedcpllege.com); NCTE Southern Regional Committee Directory; TNTEU Affiliation Records; Official College Website (agbedcollege.com); NCTE Southern Regional Committee Directory; TNTEU List
